               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,             0.02709,           0.0088565,           0.0066875,             0.99936,             0.99206,             0.99311,             0.86571,             0.02474,           0.0053015,           0.0072912,            0.008317,            0.008317,            0.008317
                  53,            0.027174,           0.0088219,           0.0068967,             0.99956,             0.99206,             0.99497,             0.89361,            0.025044,           0.0053499,           0.0071934,            0.008284,            0.008284,            0.008284
                  54,             0.02641,            0.008451,           0.0062987,             0.99854,             0.99735,               0.995,             0.88195,            0.024933,           0.0052795,           0.0069738,            0.008251,            0.008251,            0.008251
                  55,            0.027182,           0.0085167,           0.0066823,             0.99739,             0.99471,               0.995,             0.89762,            0.024746,           0.0053004,           0.0070442,            0.008218,            0.008218,            0.008218
                  56,            0.026707,           0.0086138,           0.0064472,             0.99958,             0.99206,             0.99497,             0.89678,            0.024353,           0.0051716,           0.0070473,            0.008185,            0.008185,            0.008185
                  57,            0.026249,           0.0087477,            0.006374,             0.99896,              0.9947,               0.995,             0.88861,            0.024294,           0.0052841,           0.0071592,            0.008152,            0.008152,            0.008152
                  58,             0.02612,           0.0082674,           0.0064823,             0.99887,             0.99471,               0.995,             0.89513,            0.024288,            0.005192,           0.0070983,            0.008119,            0.008119,            0.008119
                  59,            0.026663,           0.0087761,           0.0066224,             0.99947,             0.99471,               0.995,             0.87869,            0.025201,           0.0052659,           0.0071428,            0.008086,            0.008086,            0.008086
                  60,            0.027114,           0.0084087,           0.0065021,             0.99969,             0.99197,             0.99309,             0.88229,            0.024845,           0.0052922,           0.0070969,            0.008053,            0.008053,            0.008053
                  61,            0.025928,           0.0084146,           0.0063951,             0.99855,             0.99735,               0.995,             0.90779,            0.023781,           0.0049511,            0.006936,             0.00802,             0.00802,             0.00802
                  62,            0.026401,           0.0084832,           0.0063623,             0.99874,             0.99735,               0.995,             0.90779,            0.023898,           0.0049704,           0.0069919,            0.007987,            0.007987,            0.007987
                  63,            0.026019,           0.0085092,           0.0064698,             0.99777,             0.99734,               0.995,             0.89398,            0.023951,           0.0049455,           0.0069917,            0.007954,            0.007954,            0.007954
                  64,            0.027231,           0.0084303,           0.0064351,             0.99801,             0.99735,               0.995,              0.8906,            0.024623,           0.0052049,           0.0069964,            0.007921,            0.007921,            0.007921
                  65,            0.025934,           0.0084052,           0.0062933,             0.99972,             0.99471,               0.995,             0.90015,            0.023793,           0.0051435,           0.0070255,            0.007888,            0.007888,            0.007888
                  66,            0.026169,           0.0083635,           0.0065912,             0.99736,             0.99706,               0.995,             0.90509,            0.024032,           0.0051953,           0.0070995,            0.007855,            0.007855,            0.007855
                  67,             0.02601,           0.0081316,           0.0065241,             0.99989,             0.99471,               0.995,             0.90145,            0.023879,           0.0049796,           0.0069415,            0.007822,            0.007822,            0.007822
                  68,            0.024977,           0.0081543,           0.0064094,             0.99944,             0.99471,               0.995,             0.89963,            0.023953,           0.0051315,           0.0070583,            0.007789,            0.007789,            0.007789
                  69,            0.025713,           0.0082964,           0.0066641,             0.99961,             0.99206,             0.99497,              0.8958,            0.024238,           0.0050589,           0.0069236,            0.007756,            0.007756,            0.007756
